Année;Mois;Service;Gare de départ;Gare d'arrivée;Durée moyenne du trajet (min);Nombre de circulations prévues;Nombre de trains annulés;;Nombre de trains en retard au départ;Retard moyen des trains en retard au départ (min);Retard moyen de tous les trains au départ (min);;Nombre de trains en retard à l'arrivée;Retard moyen des trains en retard à l'arrivée (min);Retard moyen de tous les trains à l'arrivée (min);;% trains en retard pour causes externes (météo, obstacles, colis suspects, malveillance, mouvements sociaux, etc.);% trains en retard à cause infrastructure ferroviaire (maintenance, travaux);% trains en retard à cause gestion trafic (circulation sur ligne ferroviaire, interactions réseaux);% trains en retard à cause matériel roulant;% trains en retard à cause gestion en gare et réutilisation de matériel;% trains en retard à cause prise en compte voyageurs (affluence, gestions PSH, correspondances);Nombre trains en retard > 15min;Retard moyen trains en retard > 15min;Nombre trains en retard > 30min;Nombre trains en retard > 60min;Période;Retard pour causes externes;Retard à cause infrastructure ferroviaire;Retard à cause gestion trafic;Retard à cause matériel roulant;Retard à cause gestion en gare et réutilisation de matériel;Retard à cause prise en compte voyageurs
2015;1.0;National;POITIERS;PARIS MONTPARNASSE;106.174097665;472.0;1.0;;59.0;24.0;3.74309978769;;35.0;45.3142857143;3.07643312102;;0.241379310345;0.310344827586;0.172413793103;0.137931034483;0.0689655172414;0.0689655172414;29.0;52.2068965517;18.0;10.0;2015-01;24.1379310345;31.034482758600003;17.2413793103;13.7931034483;6.89655172414;6.89655172414
2015;1.0;National;PARIS MONTPARNASSE;TOULOUSE MATABIAU;329.51056338;143.0;1.0;;8.0;13.375;0.852112676056;;20.0;36.9;7.0;;0.315789473684;0.210526315789;0.210526315789;0.105263157895;0.105263157895;0.0526315789474;20.0;36.9;9.0;1.0;2015-01;31.5789473684;21.052631578899998;21.052631578899998;10.5263157895;10.5263157895;5.26315789474
2015;1.0;National;PARIS MONTPARNASSE;LA ROCHELLE VILLE;190.114285714;210.0;0.0;;4.0;32.25;0.719047619048;;12.0;44.1666666667;3.45714285714;;0.375;0.25;0.25;0.0;0.125;0.0;12.0;44.1666666667;7.0;3.0;2015-01;37.5;25.0;25.0;0.0;12.5;0.0
2015;1.0;National;LA ROCHELLE VILLE;PARIS MONTPARNASSE;192.349282297;210.0;1.0;;3.0;33.0;0.502392344498;;9.0;54.0;3.09090909091;;0.142857142857;0.714285714286;0.142857142857;0.0;0.0;0.0;9.0;54.0;5.0;4.0;2015-01;14.2857142857;71.4285714286;14.2857142857;0.0;0.0;0.0
2015;1.0;National;BREST;PARIS MONTPARNASSE;273.759433962;212.0;0.0;;3.0;33.0;0.52358490566;;12.0;33.1666666667;1.72641509434;;0.583333333333;0.166666666667;0.166666666667;0.0833333333333;0.0;0.0;12.0;33.1666666667;4.0;2.0;2015-01;58.3333333333;16.6666666667;16.6666666667;8.33333333333;0.0;0.0
2015;1.0;National;PARIS MONTPARNASSE;LE MANS;56.7090464548;409.0;0.0;;13.0;17.0;0.728606356968;;46.0;12.0217391304;2.27628361858;;0.15;0.15;0.15;0.15;0.225;0.175;6.0;33.3333333333;2.0;1.0;2015-01;15.0;15.0;15.0;15.0;22.5;17.5
2015;1.0;National;PARIS MONTPARNASSE;LAVAL;98.8202764977;217.0;0.0;;5.0;9.0;0.387096774194;;6.0;23.8333333333;1.36866359447;;0.333333333333;0.166666666667;0.0;0.166666666667;0.166666666667;0.166666666667;3.0;34.0;2.0;0.0;2015-01;33.333333333300004;16.6666666667;0.0;16.6666666667;16.6666666667;16.6666666667
2015;1.0;National;LILLE;PARIS NORD;67.3298429319;574.0;1.0;;39.0;12.0;1.25828970332;;86.0;14.0465116279;1.43106457243;;0.0759493670886;0.417721518987;0.151898734177;0.20253164557;0.101265822785;0.0506329113924;24.0;25.6666666667;4.0;1.0;2015-01;7.594936708860001;41.7721518987;15.189873417700001;20.253164557;10.1265822785;5.0632911392399995
2015;1.0;National;PARIS NORD;ARRAS;50.6312292359;301.0;0.0;;14.0;19.5714285714;1.13953488372;;30.0;22.3666666667;2.52491694352;;0.259259259259;0.296296296296;0.111111111111;0.037037037037;0.185185185185;0.111111111111;10.0;48.6;6.0;1.0;2015-01;25.9259259259;29.6296296296;11.1111111111;3.7037037037;18.5185185185;11.1111111111
2015;1.0;National;TOURS;PARIS MONTPARNASSE;76.6243386243;189.0;0.0;;4.0;10.5;0.417989417989;;25.0;17.2;2.66666666667;;0.157894736842;0.421052631579;0.105263157895;0.157894736842;0.105263157895;0.0526315789474;5.0;54.0;3.0;3.0;2015-01;15.7894736842;42.105263157900005;10.5263157895;15.7894736842;10.5263157895;5.26315789474
2015;1.0;International;LAUSANNE;PARIS LYON;180.524271845;103.0;0.0;;9.0;9.77777777778;1.36893203883;;8.0;28.625;1.5145631068;;0.00970873786408;0.00970873786408;0.0388349514563;0.00970873786408;0.0;0.00970873786408;6.0;34.5;3.0;1.0;2015-01;0.970873786408;0.970873786408;3.8834951456299995;0.970873786408;0.0;0.970873786408
2015;1.0;National;PARIS MONTPARNASSE;VANNES;200.582386364;177.0;1.0;;3.0;13.0;0.488636363636;;9.0;25.6666666667;3.30681818182;;0.444444444444;0.333333333333;0.111111111111;0.0;0.111111111111;0.0;9.0;25.6666666667;2.0;0.0;2015-01;44.4444444444;33.333333333300004;11.1111111111;0.0;11.1111111111;0.0
2015;1.0;National;LYON PART DIEU;RENNES;264.756097561;82.0;0.0;;24.0;15.0833333333;5.30487804878;;16.0;48.25;10.7804878049;;0.666666666667;0.0;0.0666666666667;0.2;0.0666666666667;0.0;16.0;48.25;10.0;5.0;2015-01;66.6666666667;0.0;6.66666666667;20.0;6.66666666667;0.0
2015;1.0;National;NANTES;STRASBOURG;327.038461538;39.0;0.0;;0.0;0.0;0.538461538462;;3.0;46.6666666667;4.38461538462;;0.666666666667;0.0;0.0;0.333333333333;0.0;0.0;3.0;46.6666666667;3.0;0.0;2015-01;66.6666666667;0.0;0.0;33.333333333300004;0.0;0.0
